ATM_Name,TransactionDate,NoOfWithdrawals,TotalAmtWithdrawn,Weekday,WorkingDay,BranchID
Kingsley Street ATM,2012-10-15,143,683300,SUNDAY,H,
Georgia Street ATM,2012-10-16,80,310400,SUNDAY,H,
Main Street ATM,2012-10-16,162,495800,SUNDAY,H,
Genesee Street ATM,2012-10-16,129,554300,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-16,260,1168300,SUNDAY,H,
Kingsley Street ATM,2012-10-16,110,478800,SUNDAY,H,
Georgia Street ATM,2012-10-17,79,252100,SUNDAY,H,
Main Street ATM,2012-10-17,143,355600,SUNDAY,H,
Genesee Street ATM,2012-10-17,113,526700,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-17,266,1379900,SUNDAY,H,
Kingsley Street ATM,2012-10-17,100,464500,SUNDAY,H,
Georgia Street ATM,2012-10-18,68,244700,SUNDAY,H,
Main Street ATM,2012-10-18,159,447000,SUNDAY,H,
Genesee Street ATM,2012-10-18,61,236400,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-18,176,748400,SUNDAY,H,
Kingsley Street ATM,2012-10-18,90,380600,SUNDAY,H,
Georgia Street ATM,2012-10-19,69,174200,SUNDAY,H,
Main Street ATM,2012-10-19,188,750300,SUNDAY,H,
Genesee Street ATM,2012-10-19,68,276600,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-19,210,752700,SUNDAY,H,
Kingsley Street ATM,2012-10-19,88,487800,SUNDAY,H,
Georgia Street ATM,2012-10-20,86,264400,SATURDAY,H,
Main Street ATM,2012-10-20,222,629700,SATURDAY,H,
Genesee Street ATM,2012-10-20,124,564200,SATURDAY,H,
Hollywood Aveneue ATM,2012-10-20,267,1088600,SATURDAY,H,
Kingsley Street ATM,2012-10-20,100,488800,SATURDAY,H,
Georgia Street ATM,2012-10-21,102,341100,SUNDAY,H,
Main Street ATM,2012-10-21,141,316900,SUNDAY,H,
Genesee Street ATM,2012-10-21,81,292200,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-21,141,547100,SUNDAY,H,
Kingsley Street ATM,2012-10-21,57,250400,SUNDAY,H,
Georgia Street ATM,2012-10-22,55,174100,SUNDAY,H,
Main Street ATM,2012-10-22,192,646000,SUNDAY,H,
Genesee Street ATM,2012-10-22,119,651100,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-22,307,1437700,SUNDAY,H,
Kingsley Street ATM,2012-10-22,94,530700,SUNDAY,H,
Georgia Street ATM,2012-10-23,77,278600,TUESDAY,H,
Main Street ATM,2012-10-23,132,394600,TUESDAY,H,
Genesee Street ATM,2012-10-23,73,313400,TUESDAY,H,
Hollywood Aveneue ATM,2012-10-23,124,408700,TUESDAY,H,
Kingsley Street ATM,2012-10-23,68,365700,TUESDAY,H,
Georgia Street ATM,2012-10-24,76,221600,WEDNESDAY,H,
Main Street ATM,2012-10-24,143,336000,WEDNESDAY,H,
Genesee Street ATM,2012-10-24,88,451800,WEDNESDAY,H,
Hollywood Aveneue ATM,2012-10-24,206,853800,WEDNESDAY,H,
Kingsley Street ATM,2012-10-24,67,256000,WEDNESDAY,H,
Georgia Street ATM,2012-10-25,64,226400,WEDNESDAY,H,
Main Street ATM,2012-10-25,162,439000,WEDNESDAY,H,
Genesee Street ATM,2012-10-25,108,428400,WEDNESDAY,H,
Hollywood Aveneue ATM,2012-10-25,305,1496700,WEDNESDAY,H,
Kingsley Street ATM,2012-10-25,101,448300,WEDNESDAY,H,
Georgia Street ATM,2012-10-26,76,297100,WEDNESDAY,H,
Main Street ATM,2012-10-26,181,540800,WEDNESDAY,H,
Genesee Street ATM,2012-10-26,101,518200,WEDNESDAY,H,
Hollywood Aveneue ATM,2012-10-26,288,1260000,WEDNESDAY,H,
Kingsley Street ATM,2012-10-26,56,227400,WEDNESDAY,H,
Georgia Street ATM,2012-10-27,57,148600,SATURDAY,H,
Main Street ATM,2012-10-27,156,440300,SATURDAY,H,
Genesee Street ATM,2012-10-27,111,494700,SATURDAY,H,
Hollywood Aveneue ATM,2012-10-27,227,1051000,SATURDAY,H,
Kingsley Street ATM,2012-10-27,74,308700,SATURDAY,H,
Georgia Street ATM,2012-10-28,63,185600,SUNDAY,H,
Main Street ATM,2012-10-28,163,464300,SUNDAY,H,
Genesee Street ATM,2012-10-28,92,307000,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-28,170,722600,SUNDAY,H,
Kingsley Street ATM,2012-10-28,97,317200,SUNDAY,H,
Georgia Street ATM,2012-10-29,53,157300,SUNDAY,H,
Main Street ATM,2012-10-29,77,185300,SUNDAY,H,
Genesee Street ATM,2012-10-29,118,556300,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-29,281,1001800,SUNDAY,H,
Kingsley Street ATM,2012-10-29,104,343200,SUNDAY,H,
Georgia Street ATM,2012-10-30,50,150400,SUNDAY,H,
Main Street ATM,2012-10-30,119,401600,SUNDAY,H,
Genesee Street ATM,2012-10-30,30,112000,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-30,151,639000,SUNDAY,H,
Kingsley Street ATM,2012-10-30,99,368400,SUNDAY,H,
Georgia Street ATM,2012-10-31,80,231300,SUNDAY,H,
Main Street ATM,2012-10-31,146,495000,SUNDAY,H,
Genesee Street ATM,2012-10-31,62,327500,SUNDAY,H,
Hollywood Aveneue ATM,2012-10-31,165,803600,SUNDAY,H,
Kingsley Street ATM,2012-10-31,59,321000,SUNDAY,H,
Georgia Street ATM,2012-11-01,87,353300,SUNDAY,H,
Main Street ATM,2012-11-01,223,1020500,SUNDAY,H,
Genesee Street ATM,2012-11-01,127,655600,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-01,410,2382700,SUNDAY,H,
Kingsley Street ATM,2012-11-01,112,647600,SUNDAY,H,
Georgia Street ATM,2012-11-02,90,330100,SUNDAY,H,
Main Street ATM,2012-11-02,208,882800,SUNDAY,H,
Genesee Street ATM,2012-11-02,115,555500,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-02,370,2010400,SUNDAY,H,
Kingsley Street ATM,2012-11-02,131,548300,SUNDAY,H,
Georgia Street ATM,2012-11-03,79,318300,SATURDAY,H,
Main Street ATM,2012-11-03,262,1082400,SATURDAY,H,
Genesee Street ATM,2012-11-03,107,498900,SATURDAY,H,
Hollywood Aveneue ATM,2012-11-03,349,1745000,SATURDAY,H,
Kingsley Street ATM,2012-11-03,141,622100,SATURDAY,H,
Georgia Street ATM,2012-11-04,76,242300,SUNDAY,H,
Main Street ATM,2012-11-04,153,432400,SUNDAY,H,
Genesee Street ATM,2012-11-04,115,607000,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-04,209,973500,SUNDAY,H,
Kingsley Street ATM,2012-11-04,122,558700,SUNDAY,H,
Georgia Street ATM,2012-11-05,110,394100,SUNDAY,H,
Main Street ATM,2012-11-05,287,1296600,SUNDAY,H,
Genesee Street ATM,2012-11-05,132,757600,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-05,175,761000,SUNDAY,H,
Kingsley Street ATM,2012-11-05,165,895300,SUNDAY,H,
Georgia Street ATM,2012-11-06,75,300200,SUNDAY,H,
Main Street ATM,2012-11-06,249,891500,SUNDAY,H,
Genesee Street ATM,2012-11-06,94,508900,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-06,279,1236600,SUNDAY,H,
Kingsley Street ATM,2012-11-06,135,578400,SUNDAY,H,
Georgia Street ATM,2012-11-07,109,392100,SUNDAY,H,
Main Street ATM,2012-11-07,249,904500,SUNDAY,H,
Genesee Street ATM,2012-11-07,155,956700,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-07,264,1433600,SUNDAY,H,
Kingsley Street ATM,2012-11-07,208,1094800,SUNDAY,H,
Georgia Street ATM,2012-11-08,83,302800,SUNDAY,H,
Main Street ATM,2012-11-08,193,638500,SUNDAY,H,
Genesee Street ATM,2012-11-08,147,749100,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-08,359,1720300,SUNDAY,H,
Kingsley Street ATM,2012-11-08,160,674200,SUNDAY,H,
Georgia Street ATM,2012-11-09,92,318100,SUNDAY,H,
Main Street ATM,2012-11-09,306,992100,SUNDAY,H,
Genesee Street ATM,2012-11-09,115,678100,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-09,347,1492600,SUNDAY,H,
Kingsley Street ATM,2012-11-09,132,560900,SUNDAY,H,
Georgia Street ATM,2012-11-10,132,491800,SATURDAY,H,
Main Street ATM,2012-11-10,304,1164200,SATURDAY,H,
Genesee Street ATM,2012-11-10,176,965400,SATURDAY,H,
Hollywood Aveneue ATM,2012-11-10,373,1628800,SATURDAY,H,
Kingsley Street ATM,2012-11-10,185,825100,SATURDAY,H,
Georgia Street ATM,2012-11-11,127,466800,SUNDAY,H,
Main Street ATM,2012-11-11,229,672500,SUNDAY,H,
Genesee Street ATM,2012-11-11,122,558600,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-11,409,1276700,SUNDAY,H,
Kingsley Street ATM,2012-11-11,155,583700,SUNDAY,H,
Georgia Street ATM,2012-11-12,111,451200,SUNDAY,H,
Main Street ATM,2012-11-12,190,617300,SUNDAY,H,
Genesee Street ATM,2012-11-12,121,501600,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-12,444,1466400,SUNDAY,H,
Kingsley Street ATM,2012-11-12,104,410500,SUNDAY,H,
Georgia Street ATM,2012-11-13,105,374200,TUESDAY,H,
Main Street ATM,2012-11-13,86,283600,TUESDAY,H,
Genesee Street ATM,2012-11-13,55,140700,TUESDAY,H,
Hollywood Aveneue ATM,2012-11-13,111,169800,TUESDAY,H,
Kingsley Street ATM,2012-11-13,55,179800,TUESDAY,H,
Georgia Street ATM,2012-11-14,62,185500,TUESDAY,H,
Main Street ATM,2012-11-14,122,420500,TUESDAY,H,
Genesee Street ATM,2012-11-14,99,514100,TUESDAY,H,
Hollywood Aveneue ATM,2012-11-14,243,1017500,TUESDAY,H,
Kingsley Street ATM,2012-11-14,82,267100,TUESDAY,H,
Georgia Street ATM,2012-11-15,76,246100,TUESDAY,H,
Main Street ATM,2012-11-15,125,393700,TUESDAY,H,
Genesee Street ATM,2012-11-15,109,502700,TUESDAY,H,
Hollywood Aveneue ATM,2012-11-15,270,908700,TUESDAY,H,
Kingsley Street ATM,2012-11-15,106,515600,TUESDAY,H,
Georgia Street ATM,2012-11-16,70,346900,TUESDAY,H,
Main Street ATM,2012-11-16,120,353700,TUESDAY,H,
Genesee Street ATM,2012-11-16,83,391400,TUESDAY,H,
Hollywood Aveneue ATM,2012-11-16,246,1065700,TUESDAY,H,
Kingsley Street ATM,2012-11-16,98,364600,TUESDAY,H,
Georgia Street ATM,2012-11-17,55,232400,SATURDAY,H,
Main Street ATM,2012-11-17,167,506100,SATURDAY,H,
Genesee Street ATM,2012-11-17,102,420800,SATURDAY,H,
Hollywood Aveneue ATM,2012-11-17,286,1120800,SATURDAY,H,
Kingsley Street ATM,2012-11-17,118,578800,SATURDAY,H,
Main Street ATM,2012-11-18,1,400,SUNDAY,H,
Genesee Street ATM,2012-11-18,97,436300,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-18,114,349200,SUNDAY,H,
Kingsley Street ATM,2012-11-18,77,239100,SUNDAY,H,
Georgia Street ATM,2012-11-19,86,332800,SUNDAY,H,
Main Street ATM,2012-11-19,132,338300,SUNDAY,H,
Genesee Street ATM,2012-11-19,107,520000,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-19,266,980500,SUNDAY,H,
Kingsley Street ATM,2012-11-19,66,202500,SUNDAY,H,
Georgia Street ATM,2012-11-20,81,277800,SUNDAY,H,
Main Street ATM,2012-11-20,197,684000,SUNDAY,H,
Genesee Street ATM,2012-11-20,96,334600,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-20,239,844200,SUNDAY,H,
Kingsley Street ATM,2012-11-20,81,336100,SUNDAY,H,
Georgia Street ATM,2012-11-21,86,286200,SUNDAY,H,
Main Street ATM,2012-11-21,162,422900,SUNDAY,H,
Genesee Street ATM,2012-11-21,93,352800,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-21,219,874400,SUNDAY,H,
Kingsley Street ATM,2012-11-21,80,426700,SUNDAY,H,
Georgia Street ATM,2012-11-22,78,234400,SUNDAY,H,
Main Street ATM,2012-11-22,130,404200,SUNDAY,H,
Genesee Street ATM,2012-11-22,104,553600,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-22,250,948100,SUNDAY,H,
Kingsley Street ATM,2012-11-22,82,335900,SUNDAY,H,
Georgia Street ATM,2012-11-23,85,261500,SUNDAY,H,
Main Street ATM,2012-11-23,45,81300,SUNDAY,H,
Genesee Street ATM,2012-11-23,92,381300,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-23,218,832700,SUNDAY,H,
Kingsley Street ATM,2012-11-23,96,427800,SUNDAY,H,
Georgia Street ATM,2012-11-24,85,252200,SATURDAY,H,
Main Street ATM,2012-11-24,161,439600,SATURDAY,H,
Genesee Street ATM,2012-11-24,88,432800,SATURDAY,H,
Hollywood Aveneue ATM,2012-11-24,293,1453800,SATURDAY,H,
Kingsley Street ATM,2012-11-24,86,341900,SATURDAY,H,
Georgia Street ATM,2012-11-25,80,212700,SUNDAY,H,
Main Street ATM,2012-11-25,36,95600,SUNDAY,H,
Genesee Street ATM,2012-11-25,79,359600,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-25,120,467400,SUNDAY,H,
Kingsley Street ATM,2012-11-25,83,237700,SUNDAY,H,
Georgia Street ATM,2012-11-26,90,290600,SUNDAY,H,
Main Street ATM,2012-11-26,126,408300,SUNDAY,H,
Genesee Street ATM,2012-11-26,94,315500,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-26,260,1213000,SUNDAY,H,
Kingsley Street ATM,2012-11-26,78,359900,SUNDAY,H,
Georgia Street ATM,2012-11-27,78,272400,SUNDAY,H,
Main Street ATM,2012-11-27,131,315900,SUNDAY,H,
Genesee Street ATM,2012-11-27,85,259000,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-27,195,635800,SUNDAY,H,
Kingsley Street ATM,2012-11-27,97,439800,SUNDAY,H,
Georgia Street ATM,2012-11-28,76,153100,SUNDAY,H,
Main Street ATM,2012-11-28,139,408600,SUNDAY,H,
Genesee Street ATM,2012-11-28,95,420300,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-28,221,1120100,SUNDAY,H,
Kingsley Street ATM,2012-11-28,97,475300,SUNDAY,H,
Georgia Street ATM,2012-11-29,81,288100,SUNDAY,H,
Main Street ATM,2012-11-29,136,310300,SUNDAY,H,
Genesee Street ATM,2012-11-29,50,258500,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-29,233,972400,SUNDAY,H,
Kingsley Street ATM,2012-11-29,99,409600,SUNDAY,H,
Georgia Street ATM,2012-11-30,96,340700,SUNDAY,H,
Main Street ATM,2012-11-30,187,692000,SUNDAY,H,
Genesee Street ATM,2012-11-30,113,475400,SUNDAY,H,
Hollywood Aveneue ATM,2012-11-30,259,1187300,SUNDAY,H,
Kingsley Street ATM,2012-11-30,111,511600,SUNDAY,H,
Georgia Street ATM,2012-12-01,117,433100,SATURDAY,H,
Main Street ATM,2012-12-01,184,704000,SATURDAY,H,
Genesee Street ATM,2012-12-01,127,530900,SATURDAY,H,
Hollywood Aveneue ATM,2012-12-01,309,1617000,SATURDAY,H,
Kingsley Street ATM,2012-12-01,143,791300,SATURDAY,H,
Georgia Street ATM,2012-12-02,141,432600,SUNDAY,H,
Main Street ATM,2012-12-02,219,856300,SUNDAY,H,
Genesee Street ATM,2012-12-02,106,492900,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-02,242,1009800,SUNDAY,H,
Kingsley Street ATM,2012-12-02,181,810600,SUNDAY,H,
Georgia Street ATM,2012-12-03,105,398200,SUNDAY,H,
Main Street ATM,2012-12-03,181,695300,SUNDAY,H,
Genesee Street ATM,2012-12-03,95,598000,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-03,239,1142600,SUNDAY,H,
Kingsley Street ATM,2012-12-03,132,538100,SUNDAY,H,
Georgia Street ATM,2012-12-04,127,446000,SUNDAY,H,
Main Street ATM,2012-12-04,212,800900,SUNDAY,H,
Genesee Street ATM,2012-12-04,87,421900,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-04,255,1177700,SUNDAY,H,
Kingsley Street ATM,2012-12-04,139,678500,SUNDAY,H,
Georgia Street ATM,2012-12-05,112,383800,SUNDAY,H,
Main Street ATM,2012-12-05,192,679300,SUNDAY,H,
Genesee Street ATM,2012-12-05,95,548300,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-05,296,1472200,SUNDAY,H,
Kingsley Street ATM,2012-12-05,147,800400,SUNDAY,H,
Georgia Street ATM,2012-12-06,82,268300,SUNDAY,H,
Main Street ATM,2012-12-06,169,517600,SUNDAY,H,
Genesee Street ATM,2012-12-06,139,627700,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-06,263,1266700,SUNDAY,H,
Kingsley Street ATM,2012-12-06,146,585300,SUNDAY,H,
Georgia Street ATM,2012-12-07,98,369100,SUNDAY,H,
Main Street ATM,2012-12-07,138,486200,SUNDAY,H,
Genesee Street ATM,2012-12-07,143,733400,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-07,241,893100,SUNDAY,H,
Kingsley Street ATM,2012-12-07,119,527900,SUNDAY,H,
Georgia Street ATM,2012-12-08,90,362300,SATURDAY,H,
Main Street ATM,2012-12-08,234,806100,SATURDAY,H,
Genesee Street ATM,2012-12-08,148,778900,SATURDAY,H,
Hollywood Aveneue ATM,2012-12-08,320,1357900,SATURDAY,H,
Kingsley Street ATM,2012-12-08,146,768900,SATURDAY,H,
Georgia Street ATM,2012-12-09,113,327800,SUNDAY,H,
Main Street ATM,2012-12-09,150,412100,SUNDAY,H,
Genesee Street ATM,2012-12-09,111,453100,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-09,56,194100,SUNDAY,H,
Kingsley Street ATM,2012-12-09,108,439700,SUNDAY,H,
Georgia Street ATM,2012-12-10,95,300700,SUNDAY,H,
Main Street ATM,2012-12-10,189,725900,SUNDAY,H,
Genesee Street ATM,2012-12-10,95,499800,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-10,257,1091500,SUNDAY,H,
Kingsley Street ATM,2012-12-10,106,476500,SUNDAY,H,
Georgia Street ATM,2012-12-11,85,325300,SUNDAY,H,
Main Street ATM,2012-12-11,119,378600,SUNDAY,H,
Genesee Street ATM,2012-12-11,100,507000,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-11,323,1441600,SUNDAY,H,
Kingsley Street ATM,2012-12-11,125,582500,SUNDAY,H,
Georgia Street ATM,2012-12-12,90,366200,SUNDAY,H,
Main Street ATM,2012-12-12,167,685600,SUNDAY,H,
Genesee Street ATM,2012-12-12,130,650900,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-12,282,1160200,SUNDAY,H,
Kingsley Street ATM,2012-12-12,109,406900,SUNDAY,H,
Georgia Street ATM,2012-12-13,90,338800,SUNDAY,H,
Main Street ATM,2012-12-13,163,568200,SUNDAY,H,
Genesee Street ATM,2012-12-13,57,254000,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-13,201,879100,SUNDAY,H,
Kingsley Street ATM,2012-12-13,116,512500,SUNDAY,H,
Georgia Street ATM,2012-12-14,76,308600,SUNDAY,H,
Main Street ATM,2012-12-14,155,480200,SUNDAY,H,
Genesee Street ATM,2012-12-14,94,451600,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-14,229,863000,SUNDAY,H,
Kingsley Street ATM,2012-12-14,80,366100,SUNDAY,H,
Georgia Street ATM,2012-12-15,120,406200,SATURDAY,H,
Main Street ATM,2012-12-15,173,557100,SATURDAY,H,
Genesee Street ATM,2012-12-15,117,568200,SATURDAY,H,
Hollywood Aveneue ATM,2012-12-15,271,1336600,SATURDAY,H,
Kingsley Street ATM,2012-12-15,105,568700,SATURDAY,H,
Georgia Street ATM,2012-12-16,118,349100,SUNDAY,H,
Main Street ATM,2012-12-16,167,278000,SUNDAY,H,
Genesee Street ATM,2012-12-16,107,430300,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-16,108,355700,SUNDAY,H,
Kingsley Street ATM,2012-12-16,119,315200,SUNDAY,H,
Georgia Street ATM,2012-12-17,95,291300,SUNDAY,H,
Main Street ATM,2012-12-17,171,585600,SUNDAY,H,
Genesee Street ATM,2012-12-17,110,526100,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-17,221,1172300,SUNDAY,H,
Kingsley Street ATM,2012-12-17,94,277500,SUNDAY,H,
Georgia Street ATM,2012-12-18,76,241900,SUNDAY,H,
Main Street ATM,2012-12-18,190,562600,SUNDAY,H,
Genesee Street ATM,2012-12-18,101,503400,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-18,208,936700,SUNDAY,H,
Kingsley Street ATM,2012-12-18,106,428800,SUNDAY,H,
Georgia Street ATM,2012-12-19,77,226200,SUNDAY,H,
Main Street ATM,2012-12-19,195,824600,SUNDAY,H,
Genesee Street ATM,2012-12-19,124,548000,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-19,244,1014400,SUNDAY,H,
Kingsley Street ATM,2012-12-19,107,324400,SUNDAY,H,
Georgia Street ATM,2012-12-20,90,287200,SUNDAY,H,
Main Street ATM,2012-12-20,188,535500,SUNDAY,H,
Genesee Street ATM,2012-12-20,92,411700,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-20,212,869000,SUNDAY,H,
Kingsley Street ATM,2012-12-20,106,521500,SUNDAY,H,
Georgia Street ATM,2012-12-21,77,304600,SUNDAY,H,
Main Street ATM,2012-12-21,116,396400,SUNDAY,H,
Genesee Street ATM,2012-12-21,107,444800,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-21,239,1092000,SUNDAY,H,
Kingsley Street ATM,2012-12-21,92,353000,SUNDAY,H,
Georgia Street ATM,2012-12-22,130,436000,SATURDAY,H,
Main Street ATM,2012-12-22,162,566900,SATURDAY,H,
Genesee Street ATM,2012-12-22,104,479700,SATURDAY,H,
Hollywood Aveneue ATM,2012-12-22,291,1196900,SATURDAY,H,
Kingsley Street ATM,2012-12-22,84,437200,SATURDAY,H,
Georgia Street ATM,2012-12-23,67,220700,SUNDAY,H,
Main Street ATM,2012-12-23,160,416900,SUNDAY,H,
Genesee Street ATM,2012-12-23,76,276500,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-23,146,457000,SUNDAY,H,
Kingsley Street ATM,2012-12-23,78,358700,SUNDAY,H,
Georgia Street ATM,2012-12-24,97,363900,SUNDAY,H,
Main Street ATM,2012-12-24,144,494600,SUNDAY,H,
Genesee Street ATM,2012-12-24,84,472300,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-24,243,1175200,SUNDAY,H,
Kingsley Street ATM,2012-12-24,108,359600,SUNDAY,H,
Georgia Street ATM,2012-12-25,76,235400,TUESDAY,H,
Main Street ATM,2012-12-25,85,230300,TUESDAY,H,
Genesee Street ATM,2012-12-25,76,246000,TUESDAY,H,
Hollywood Aveneue ATM,2012-12-25,111,384700,TUESDAY,H,
Kingsley Street ATM,2012-12-25,68,163000,TUESDAY,H,
Georgia Street ATM,2012-12-26,89,210800,TUESDAY,H,
Main Street ATM,2012-12-26,114,445600,TUESDAY,H,
Genesee Street ATM,2012-12-26,101,344100,TUESDAY,H,
Hollywood Aveneue ATM,2012-12-26,243,969400,TUESDAY,H,
Kingsley Street ATM,2012-12-26,105,480700,TUESDAY,H,
Georgia Street ATM,2012-12-27,94,343200,TUESDAY,H,
Main Street ATM,2012-12-27,133,398000,TUESDAY,H,
Genesee Street ATM,2012-12-27,121,362900,TUESDAY,H,
Hollywood Aveneue ATM,2012-12-27,212,1088600,TUESDAY,H,
Kingsley Street ATM,2012-12-27,100,430300,TUESDAY,H,
Georgia Street ATM,2012-12-28,109,468700,TUESDAY,H,
Main Street ATM,2012-12-28,126,486400,TUESDAY,H,
Genesee Street ATM,2012-12-28,53,177600,TUESDAY,H,
Hollywood Aveneue ATM,2012-12-28,195,854200,TUESDAY,H,
Kingsley Street ATM,2012-12-28,80,244600,TUESDAY,H,
Georgia Street ATM,2012-12-29,98,264300,SATURDAY,H,
Main Street ATM,2012-12-29,85,171400,SATURDAY,H,
Genesee Street ATM,2012-12-29,33,146400,SATURDAY,H,
Hollywood Aveneue ATM,2012-12-29,233,991400,SATURDAY,H,
Kingsley Street ATM,2012-12-29,103,549300,SATURDAY,H,
Georgia Street ATM,2012-12-30,106,376000,SUNDAY,H,
Main Street ATM,2012-12-30,117,262600,SUNDAY,H,
Genesee Street ATM,2012-12-30,107,442800,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-30,140,449800,SUNDAY,H,
Kingsley Street ATM,2012-12-30,69,169600,SUNDAY,H,
Georgia Street ATM,2012-12-31,118,364300,SUNDAY,H,
Main Street ATM,2012-12-31,251,1037800,SUNDAY,H,
Genesee Street ATM,2012-12-31,155,821300,SUNDAY,H,
Hollywood Aveneue ATM,2012-12-31,370,1587700,SUNDAY,H,
Kingsley Street ATM,2012-12-31,105,381700,SUNDAY,H,
Georgia Street ATM,2013-01-01,125,429200,TUESDAY,H,
Main Street ATM,2013-01-01,144,377900,TUESDAY,H,
Genesee Street ATM,2013-01-01,78,315400,TUESDAY,H,
Hollywood Aveneue ATM,2013-01-01,268,1290200,TUESDAY,H,
Kingsley Street ATM,2013-01-01,95,427100,TUESDAY,H,
Georgia Street ATM,2013-01-02,108,401000,WEDNESDAY,W,
Main Street ATM,2013-01-02,191,772300,WEDNESDAY,W,
Genesee Street ATM,2013-01-02,137,670700,WEDNESDAY,W,
Hollywood Aveneue ATM,2013-01-02,346,1710500,WEDNESDAY,W,
Kingsley Street ATM,2013-01-02,106,452100,WEDNESDAY,W,
Georgia Street ATM,2013-01-03,94,314800,THURSDAY,W,
Main Street ATM,2013-01-03,188,738100,THURSDAY,W,
Genesee Street ATM,2013-01-03,91,480700,THURSDAY,W,
Hollywood Aveneue ATM,2013-01-03,304,1524200,THURSDAY,W,
Kingsley Street ATM,2013-01-03,117,671600,THURSDAY,W,
Georgia Street ATM,2013-01-04,104,356900,FRIDAY,W,
Main Street ATM,2013-01-04,185,633100,FRIDAY,W,
Genesee Street ATM,2013-01-04,104,505600,FRIDAY,W,
Hollywood Aveneue ATM,2013-01-04,305,1697700,FRIDAY,W,
Kingsley Street ATM,2013-01-04,143,682900,FRIDAY,W,
Georgia Street ATM,2013-01-05,47,148800,SATURDAY,H,
Main Street ATM,2013-01-05,245,983100,SATURDAY,H,
Genesee Street ATM,2013-01-05,169,1034000,SATURDAY,H,
Hollywood Aveneue ATM,2013-01-05,248,1032200,SATURDAY,H,
Kingsley Street ATM,2013-01-05,160,748100,SATURDAY,H,
Georgia Street ATM,2013-01-06,95,307200,SUNDAY,H,
Main Street ATM,2013-01-06,233,583500,SUNDAY,H,
Genesee Street ATM,2013-01-06,105,375500,SUNDAY,H,
Hollywood Aveneue ATM,2013-01-06,131,542800,SUNDAY,H,
Kingsley Street ATM,2013-01-06,65,293200,SUNDAY,H,
Georgia Street ATM,2013-01-07,99,273500,MONDAY,W,
Main Street ATM,2013-01-07,152,424000,MONDAY,W,
Genesee Street ATM,2013-01-07,152,863100,MONDAY,W,
Hollywood Aveneue ATM,2013-01-07,296,1368800,MONDAY,W,
Kingsley Street ATM,2013-01-07,140,763100,MONDAY,W,
Georgia Street ATM,2013-01-08,68,242600,TUESDAY,W,
Main Street ATM,2013-01-08,204,602400,TUESDAY,W,
Genesee Street ATM,2013-01-08,135,609300,TUESDAY,W,
Hollywood Aveneue ATM,2013-01-08,265,1127300,TUESDAY,W,
